appearance_id;artista_proyecto;nombre_cancion;aparicion;tipo;titulo_obra;temporada_episodio;pais_obra;lanzamiento_cancion
OAS013;Oasis;Bring It On Down ;2016;Pelicula;Supersonic;;Reino Unido;1994
OAS014;Oasis;Cast No Shadow ;2006;Pelicula;Goal The Dream Begins;;Reino Unido;1995
OAS015;Oasis;Cast No Shadow ;2014;Serie;My Mad Fat Diary;S2/E3;Reino Unido;1995
OAS016;Oasis;Champagne Supernova;2014;Videojuego;Rocksmith 2014 ;;Estados Unidos;1995
OAS017;Oasis;Champagne Supernova;2015;Videojuego;Rock Band 4 ;;Estados Unidos;1995
OAS018;Oasis;Champagne Supernova;2017;Videojuego;Rock Band VR;;Estados Unidos;1995
OAS019;Oasis;Champagne Supernova;2024;Videojuego;Rocksmith+;;Estados Unidos;1995
OAS020;Oasis;Champagne Supernova;2023;Serie;Twisted Metal;S1/E1;Estados Unidos;1995
OAS021;Oasis;Champagne Supernova;2017;Serie;iZombie;S3/E5;Estados Unidos;1995
OAS022;Oasis;Champagne Supernova;2013;Serie;My Mad Fat Diary;S1/E6;Reino Unido;1995
OAS023;Oasis;Champagne Supernova;2013;Serie;My Mad Fat Diary;S1/E2;Reino Unido;1995
OAS024;Oasis;Champagne Supernova;2013;Serie;My Mad Fat Diary;S1/E1;Reino Unido;1995
OAS025;Oasis;Champagne Supernova;2007;Serie;Journeyman;S1/E1;Estados Unidos;1995
OAS026;Oasis;Champagne Supernova;2010;Serie;Shameless (UK);S7/E14;Reino Unido;1995
OAS027;Oasis;Champagne Supernova;2010;Serie;Skins (UK);S4/E2;Reino Unido;1995
OAS028;Oasis;Champagne Supernova ;2013;Serie;Southcliffe;S1/E2;Reino Unido;1995
OAS029;Oasis;Cigarettes & Alcohol;2016;Pelicula;Supersonic;;Reino Unido;1994
OAS030;Oasis;Cigarettes & Alcohol;2016;Pelicula;The Brothers Grimsby;;Reino Unido;1994
OAS031;Oasis;Cigarettes & Alcohol;2013;Serie;My Mad Fat Diary;S1/E1;Reino Unido;1994
OAS032;Oasis;Cigarettes & Alcohol;2021;Serie;Brassic;S3/E3;Reino Unido;1994
OAS033;Oasis;Columbia;2016;Pelicula;Supersonic;;Reino Unido;1994
OAS034;Oasis;Columbia;2013;Serie;My Mad Fat Diary;S1/E3;Reino Unido;1994
OAS035;Oasis;Digsy's Dinner ;2016;Pelicula;Supersonic;;Reino Unido;1994
OAS036;Oasis;Don't Go Away ;2005;Serie;Cold Case;S2/E16;Estados Unidos;1997
