artista;cancion;aparicion;tipo;titulo_obra;temporada_episodio;titulo_episodio
Blur;To the End;2024;Serie;One Day;S1E9;Episode 9
Blur;To the End;2014;Serie;My Mad Fat Diary;S2E6;Not I
Blur;To the End;2014;Serie;My Mad Fat Diary;S2E2;Radar
Blur;Trimm Trabb;2001;Serie;Roswell;S3E1;Busted
Blur;Trimm Trabb;1999;Serie;Millennium;S3E17;Darwin's Eye
Blur;Under the Westway;2013;Serie;Parenthood;S4E15;Because You're My Sister
Oasis;Lyla;2005;Videojuego;FIFA 06;;
Oasis;Rock 'n' Roll Star;2007;Videojuego;Rock Band (EU);;
Oasis;Don't Look Back in Anger;2008;Videojuego;Rock Band (Wii);;
Oasis;Don't Look Back in Anger;2008;Videojuego;Rock Band (DLC);;
Oasis;Live Forever;2008;Videojuego;Rock Band (DLC);;
Oasis;Wonderwall;2008;Videojuego;Rock Band (DLC);;
Oasis;Some Might Say;2008;Videojuego;Guitar Hero World Tour;;
Oasis;Bag It Up;2008;Videojuego;Guitar Hero World Tour (DLC);;
Oasis;Waiting for the Rapture;2008;Videojuego;Guitar Hero World Tour (DLC);;
Oasis;The Shock of the Lightning;2008;Videojuego;Guitar Hero World Tour (DLC);;
Oasis;The Turning;2008;Videojuego;Guitar Hero World Tour (DLC);;
Oasis;I'm Outta Time;2008;Videojuego;Guitar Hero World Tour (DLC);;
Oasis;(Get Off Your) High Horse Lady;2008;Videojuego;Guitar Hero World Tour (DLC);;
Oasis;Falling Down;2008;Videojuego;Guitar Hero World Tour (DLC);;
Oasis;To Be Where There's Life;2008;Videojuego;Guitar Hero World Tour (DLC);;
Oasis;Ain't Got Nothin';2008;Videojuego;Guitar Hero World Tour (DLC);;
Oasis;The Nature of Reality;2008;Videojuego;Guitar Hero World Tour (DLC);;
Oasis;Soldier On;2008;Videojuego;Guitar Hero World Tour (DLC);;
Oasis;Supersonic (Live);2009;Videojuego;Rock Band 2 (DLC);;
Oasis;Wonderwall;2009;Videojuego;Rock Band Unplugged (DLC);;
Oasis;(It's Good) To Be Free;2013;Videojuego;Grand Theft Auto V (beta);;
Oasis;Don't Look Back in Anger;2013;Videojuego;Rocksmith 2014;;
Oasis;Live Forever;2014;Videojuego;Rocksmith 2014 (DLC);;
Oasis;Supersonic;2014;Videojuego;Rocksmith 2014 (DLC);;
Oasis;Champagne Supernova;2014;Videojuego;Rocksmith 2014 (DLC);;
Oasis;Some Might Say;2014;Videojuego;Rocksmith 2014 (DLC);;
Oasis;Wonderwall;2014;Videojuego;Rocksmith 2014 (DLC);;
Oasis;Wonderwall (Cover);2016;Videojuego;Just Sing;;
Oasis;Wonderwall;2017;Videojuego;SingStar Celebration;;
Oasis;Champagne Supernova;2015;Videojuego;Rock Band 4 (DLC);;
Oasis;Champagne Supernova;2017;Videojuego;Rock Band VR;;
Oasis;Champagne Supernova;2024;Videojuego;Rocksmith+;;
Oasis;Don't Look Back in Anger;2024;Videojuego;Rocksmith+;;
Oasis;Wonderwall;2024;Videojuego;Rocksmith+;;
Oasis;Wonderwall;2026;Videojuego;Just Dance 2027 Edition (Leak);;
Oasis;(Get Off Your) High Horse Lady;2008;Serie;One Tree Hill;S6E12;You Have to be Joking (Autopsy of the Devil's Brain)
Oasis;Acquiesce;2016;Pelicula;Supersonic;;
Oasis;Acquiesce;2015;Serie;My Mad Fat Diary;S3E2;Rewind
Oasis;Acquiesce;2007;Serie;Jericho;S1E12;The Day Before
Oasis;All Around The World;2016;Película;Supersonic;;
Oasis;All Around The World;1998;Serie;Daria;S2E2;The Daria Hunter
Oasis;Bonehead's Bank Holiday (Demo);2016;Película;Supersonic;;
Oasis;Boy With the Blues;2009;Serie;NCIS;S6E22;Legend, Part 1
Oasis;Bring It On Down (Remastered);2016;Pelicula;Supersonic;;
Oasis;Cast No Shadow (Remastered);2006;Pelicula;Goal! The Dream Begins;;
Oasis;Cast No Shadow (Remastered);2014;Serie;My Mad Fat Diary;S2E3;Girls
Oasis;Champagne Supernova;2023;Serie;Twisted Metal;S1E1;WLUDRV
Oasis;Champagne Supernova;2017;Serie;iZombie;S3E5;Spanking the Zombie
Oasis;Champagne Supernova;2013;Serie;My Mad Fat Diary;S1E6;It's a Wonderful Rae (2)
Oasis;Champagne Supernova;2013;Serie;My Mad Fat Diary;S1E2;Touched
Oasis;Champagne Supernova;2013;Serie;My Mad Fat Diary;S1E1;Big Bad World
Oasis;Champagne Supernova;2007;Serie;Journeyman;S1E1;Pilot - A Love of a Lifetime
Oasis;Champagne Supernova;2010;Serie;Shameless (UK);S7E14;Secret Relations
Oasis;Champagne Supernova;2010;Serie;Skins (UK);S4E2;Emily
Oasis;Champagne Supernova (Remastered);2013;Serie;Southcliffe;S1E2;Lights Falls
Oasis;Cigarettes & Alcohol;2016;Pelicula;Supersonic;;
Oasis;Cigarettes & Alcohol;2016;Pelicula;The Brothers Grimsby;;
Oasis;Cigarettes & Alcohol;2013;Serie;My Mad Fat Diary;S1E1;Big Bad World
Oasis;Cigarettes & Alcohol;2021;Serie;Brassic;S3E3;Episode 3
Oasis;Columbia (Remastered);2016;Pelicula;Supersonic;;
Oasis;Columbia (Remastered);2013;Serie;My Mad Fat Diary;S1E3;Ladies and Gentlemen
Oasis;Digsy's Dinner (Remastered);2016;Pelicula;Supersonic;;
Oasis;Don't Go Away (Remastered);2005;Serie;Cold Case;S2E16;Revenge
Oasis;Don't Look Back In Anger;2026;Pelicula;Mike & Nick & Nick & Alice;;
Oasis;Don't Look Back In Anger;2021;Serie;Ted Lasso;S2E8;Man City
Oasis;Don't Look Back In Anger;2021;Pelicula;To All the Boys: Always and Forever, Lara Jean;;
Oasis;Don't Look Back In Anger;2020;Serie;Roswell, New Mexico;S2E4;What If God Was One of Us
Oasis;Don't Look Back In Anger;2018;Serie;Everything Sucks!;S1E1;Plutonium
Oasis;Don't Look Back In Anger;2017;Serie;Friends from College;S1E2;Connecticut House
Oasis;Don't Look Back In Anger;2015;Serie;Zoo;S1E4;Pack Mentality
Oasis;Don't Look Back In Anger;2011;Serie;Being Human;S1E13;A Funny Thing Happened on the Way to Me Killing You
Oasis;Don't Look Back In Anger;2007;Serie;Chuck;S1E7;Chuck Versus the Alma Mater
Oasis;Don't Look Back In Anger;2004;Serie;Cold Case;S1E11;Hubris
Oasis;Don't Look Back In Anger;2020;Pelicula;All My Life;;
Oasis;Don't Look Back In Anger;2017;Serie;The Story of Diana;S1E2;Part 2 of 2
Oasis;Don't Look Back in Anger (Remastered);2020;Serie;Schooled;S2E17;Garden Party
Oasis;F****n' in the Bushes;2021;Serie;Love Island (UK);S7E19;Episode 19
Oasis;F****n' in the Bushes;2001;Pelicula;Snatch;;
Oasis;F****n' in the Bushes;2017;Serie;Ex on the Beach (UK);S7E5;Episode 5
Oasis;F****n' in the Bushes;2016;Serie;Top Gear (UK);S23E1;Episode 1
Oasis;F****n' in the Bushes;2008;Serie;Top Gear (UK);S12E4;Economy Run
Oasis;Falling Down;2008;Serie;CSI: NY;S5E6;Enough
Oasis;Fuckin' In The Bushes;2010;Serie;Top Gear (UK);S15E3;Season 15, Episode 3
Oasis;Fuckin' In The Bushes;2008;Serie;South Park;S12E9;Breast Cancer Show Ever
Oasis;Go Let It Out;2021;Serie;Countdown: Inspiration4 Mission to Space;S1E1;Episode 1
Oasis;Go Let It Out;2000;Serie;Daria;S4E7;Of Human Bonding
Oasis;Half The World Away;2001;Serie;Spaced;S2E7;Leaves
Oasis;Hello (Remastered);2013;Serie;Elementary;S2E1;Step Nine
Oasis;Hello (Remastered);2013;Serie;My Mad Fat Diary;S1E4;Don't Ever Tell Anyone Anything!
Oasis;It's Better People (Remastered);2016;Pelicula;Supersonic;;
Oasis;Let There Be Love;2007;Serie;Cold Case;S4E22;Cargo
Oasis;Let There Be Love;2006;Serie;Waterloo Road;S1E8;Episode 8
Oasis;Listen Up;2001;Serie;Daria;S5E7;Art Burn
Oasis;Little By Little;2006;Serie;Cold Case;S4E2;The War at Home
Oasis;Live Forever;2021;Pelicula;Fear Street Part Three: 1666;;
Oasis;Live Forever;2013;Serie;My Mad Fat Diary;S1E5;It's a Wonderful Rae (1)
Oasis;Live Forever;2019;Serie;This Is Us;S3E14;The Graduates
Oasis;Lyla;2006;Serie;Shameless (UK);S3E7;Act Your Age
Oasis;Morning Glory (Remastered);2016;Película;Supersonic;;
Oasis;Morning Glory (Remastered);2013;Serie;My Mad Fat Diary;S1E3;Ladies and Gentlemen
Oasis;Morning Glory (Remastered);2006;Película;Goal! The Dream Begins;;
Oasis;Morning Glory (Remastered);2011;Serie;Shameless (UK);S8E3;Where's Frank?
Oasis;Part of the Queue;2006;Serie;Waterloo Road;S1E6;Episode 6
